          mammifère	          mammifère	             mamifER	       NOM	                    	         m	          	         3	                                  neutre	                                        tétrapode	    poils;griffes;carnivore;viande;squelette;dents	                                            animal
           aquatique	           aquatique	             akwatik	       ADJ	                    	          	          	         3	                                 lyrique	                        amphibie;marin;marécageux	    mer;eaux;lac;rivière;étang;roches;prédateur	                                                  
        intelligence	        intelligence	            5teliZ@s	       NOM	                    	         f	          	         4	                                  neutre	                      astuce;clairvoyance;sapience	faculté;abstraction;idée;compréhension;entendement;réflexion;cerveau	                                       psychologie
              chasse	              chasse	                 Sas	       NOM	                    	         f	          	         1	                                 épique	                                  battue;poursuite	   trappe;recherche;gibier;traque;mort;survie;duel	                                            chasse
            colossal	            colossal	             kolosal	       ADJ	                    	         m	          	         3	                                 épique	                                    immense;massif	                         force;puissance;démesure	                                folklore;guerre
             immense	             immense	                im@s	       ADJ	                    	          	          	         2	                                 épique	                               colossal;titanesque	                                géant;massif;fort	                                       folklore
          titanesque	          titanesque	            titanEsk	       ADJ	                    	          	          	         3	                                 épique	                               cyclopéen;puissant	                        divin;puissance;invincible	                                       folklore
             monstre	             monstre	              m§stR	       ADJ	                    	          	          	         1	                         épique;comique	                         bête;chimère;scélérat	                         peur;démence;horreur;mal	                                       folklore
             monstre	             monstre	              m§stR	       NOM	                    	         m	          	         1	                         épique;comique	                         bête;chmière;scélérat	                  peur;démence;horreur;cauchemar	                                 folklore;folie
           créature	           créature	             kReatyR	       NOM	                    	         f	          	         3	                                  neutre	                                      être;mortel	                 vie;persévérance;animal;inconnu	                                animal;folklore
          mastodonte	          mastodonte	           mastod§t	       NOM	                    	         m	         s	         3	                                 épique	                                    géant;monstre	                 destruction;puissance;peur;combat	                                           épique
            écraser	            écraser	              ekRaze	       VER	                inf;	          	          	         3	                                  neutre	                        anéantir;terraser;dominer	                       poids;force;battre;victoire	                                            guerre
              ancien	              ancien	                @sj5	       ADJ	                    	         m	         s	         2	                                  neutre	                       antique;révolu;immémorial	                     oublié;perdu;relique;sagesse	                              folklore;folklore
              ancien	              ancien	                @sj5	       NOM	                    	         m	         s	         2	                                  neutre	                                        vieux;sage	                  vieillard;histoire;passé;savoir	                                                  
             disparu	             disparu	             dispaRy	       ADJ	                    	         m	         s	         3	                                 lyrique	         perdu;oublié;absent;introuvable;manquant	            marin;mort;guerre;catastrophe;mémoire	                navigation;folklore;folklore
             disparu	             disparu	             dispaRy	       NOM	                    	         m	         s	         3	                                 lyrique	                                     perdu;obulié	        mort;décès;perte;famille;chagrin;sanglot	                                                  
            mythique	            mythique	               mitik	       ADJ	                    	          	         s	         2	                         lyrique;épique	                folklore;imaginaire;fantastique	  récit;héroique;oublié;livre;histoire;chimère	                           folklore;folklore
                dieu	                dieu	                 dj2	       NOM	                    	         m	         s	         1	                         épique;lyrique	                          éternel;père;créateur	monde;religion;guerre;vérité;création;divin;divinité	                      épique;religion;folklore
                eaux	                 eau	                   o	       NOM	                    	         f	         p	         1	           mélancolique;lyrique;épique	                                         mer;flots	trembler;froid;bouillonement;mort;nature;indomptable	                            navigation;folklore
          navigation	          navigation	          navigasj§	       NOM	                    	         f	         s	         4	                                  neutre	                              expédition;périple	  vaisseau;bateau;marin;capitaine;mer;océan;flots	         navigation;guerre;épique;chasse;commerce
            tempête	            tempête	               t@pEt	       NOM	                    	         f	         s	         2	                      épique;dramatique	                        colère;cyclone;cataclysme	chaos;désordre;agitation;tourbillon;typhon;orage;fracas	              épique;navigation;folklore;folie
               marin	               marin	                maR5	       ADJ	                    	         m	         s	         2	                           mélancolique	                                        océanique	                       bleu;mer;embruns;coquillage	                             art;pêche;navigation
               marin	               marin	                maR5	       NOM	                    	         m	         s	         2	                            science	                      navigateur;caboteur;corsaire	                     bateau;voile;pipe;tabac;ancre	                               navigation;aventure
            aventure	            aventure	              av@tyR	       NOM	                    	         f	         s	         3	                         lyrique;épique	                                   intrigue;péril	risque;péripétie;mésaventure;fortune;trésor;amour	                              folklore;aventure
             inconnu	             inconnu	               5kony	       ADJ	                    	         m	         s	         3	                                  neutre	                  inexploré;étranger;mystérieux	terre;voyage;perte;découverte;incertain;continent	     aventure;science;folklore;folklore
             inconnu	             inconnu	               5kony	       NOM	                    	         m	         s	         3	                                  neutre	                                étranger;apatride	                                visage;noir;masque	                                                  
            mystère	            mystère	              mistER	       NOM	                    	         m	         s	         2	   mélancolique;science;dramatique	                                    énigme;secret	     ombre;inexplicable;obscurité;magie;diablerie	                      folie;navigation;folklore
               vague	               vague	                 vag	       ADJ	                    	          	         s	         1	                                  neutre	                   incertain;imprécis;confus;flou	 imparfait;aveugle;nuageux;explication;description	                                                  
               vague	               vague	                 vag	       NOM	                    	         f 	         s	         1	                   mélancolique;épique	                              lame;flot;ondulation	                       mer;agitation;écume;briser	                    art;pêche;guerre;science
               flots	                flot	                 flo	       NOM	                    	         m	         p	         1	                         épique;lyrique	                                       mer;torrent	                  marée;pluie;écoulement;liquide	                            navigation;folklore
