      déboulonnées	        déboulonner	            debulone	       VER	            par:pas;	         f	          	         4	                                  neutre	                             défoncées	                           coup;violence	                               mecanique
               jaune	               jaune	                 Zon	       NOM	                    	          	          	         1	                                  neutre	                                        	                                        	                                        
            alphabet	            alphabet	              alfabE	       NOM	                    	         m	          	         3	                                  neutre	                                 lettres	                   langue;mots;écriture	                         langage;culture
             enclume	             enclume	               @klym	       NOM	                    	         f	          	         2	                                  neutre	                                        	               marteau;fer;travail;forge	                                  themes
             géante	              géant	                Ze@t	       NOM	                    	         f	          	         2	                                  epique	               énorme;grande;titanesque	                         géant;mythique	                                folklore
           démentir	           démentir	             dem@tiR	       VER	                inf;	          	          	         3	                                  neutre	                                    nier	                              accusation	                               politique
          roucouleur	          roucouleur	             Rukul9R	       ADJ	                    	         m	          	         3	                                  neutre	                                        	                                        	                                        
               vélo	               vélo	                velo	       NOM	                    	         m	          	         2	                                  neutre	                              bicyclette	                      ballade;sport;roue	                                   sport
              double	              double	                dubl	       ADJ	                    	          	          	         1	                                  neutre	                                        	                                        	                                        
              double	              double	                dubl	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
              double	             doubler	                dubl	       VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;	          	          	         1	                                  neutre	                                        	                                        	                                        
                nain	                nain	                  n5	       NOM	                    	         m	          	         1	                                  neutre	                                   gnome	forge;bière;métal;précieux;convoitise;guerrier	                        peuple;artisanat
